word,review_html,content_url
implicit,https://www.codecademy.com/review-cards/5e88d07ad8bc4b0018680f30,https://www.codecademy.com/courses/learn-ruby/lessons/the-zen-of-ruby
count,https://www.codecademy.com/review-cards/5b5f43df646caa366d0f7bf6,https://www.codecademy.com/paths/data-science/tracks/dspath-python-lists-and-loops/modules/dspath-lists/lessons/use-python-list
sort,https://www.codecademy.com/review-cards/5b5f43df646caa366d0f7bf4,https://www.codecademy.com/paths/data-science/tracks/dspath-python-lists-and-loops/modules/dspath-lists/lessons/use-python-list
item,https://www.codecademy.com/review-cards/5b7597d4646caa3d057bf121,https://www.codecademy.com/paths/data-science/tracks/dspath-python-lists-and-loops/modules/dspath-lists/lessons/use-python-list
sorted,https://www.codecademy.com/review-cards/5b5f43df646caa366d0f7bf2,https://www.codecademy.com/paths/data-science/tracks/dspath-python-lists-and-loops/modules/dspath-lists/lessons/use-python-list
dictionary,https://www.codecademy.com/review-cards/5be08c6c5df3151e4884342c,https://www.codecademy.com/paths/computer-science/tracks/cspath-python-objects/modules/cspath-python-dictionaries/lessons/dictionaries-introduction
key,https://www.codecademy.com/review-cards/5bddea40f242fc71087e9594,https://www.codecademy.com/paths/computer-science/tracks/cspath-python-objects/modules/cspath-python-dictionaries/lessons/dictionaries-introduction
dictionaries,https://www.codecademy.com/review-cards/5bdd438af242fc71377e9475,https://www.codecademy.com/paths/computer-science/tracks/cspath-python-objects/modules/cspath-python-dictionaries/lessons/dictionaries-introduction
brace,https://www.codecademy.com/review-cards/5bddbf67f242fc712a7e954b,https://www.codecademy.com/paths/computer-science/tracks/cspath-python-objects/modules/cspath-python-dictionaries/lessons/dictionaries-introduction
array,https://www.codecademy.com/review-cards/5cb2f1c65f1de87da04f6ff0,https://www.codecademy.com/paths/introduction-to-android-with-java/tracks/java-arrays-and-loops/modules/learn-java-arrays-and-arraylists/lessons/learn-java-arrays
dynamic,https://www.codecademy.com/review-cards/5ecaf1d83495280012d59bc6,https://www.codecademy.com/courses/technical-interview-practice-python/lessons/tip-dynamic-programming
subproblems,https://www.codecademy.com/review-cards/5ec602fcca01b0001188b9a7,https://www.codecademy.com/courses/technical-interview-practice-python/lessons/tip-dynamic-programming
optimization,https://www.codecademy.com/review-cards/5c6d5d8b39652c0248b8d30f,https://www.codecademy.com/courses/technical-interview-practice-python/lessons/tip-dynamic-programming
median,https://www.codecademy.com/review-cards/5e138117e32022001155322e,https://www.codecademy.com/courses/learn-r/lessons/quantiles-r
median,https://www.codecademy.com/review-cards/5e138117e32022001155322e,https://www.codecademy.com/paths/analyze-data-with-python/tracks/ida-6-statistics-for-data-analysis/modules/ida-6-2-quartiles-quantiles/lessons/quantiles
quantile,https://www.codecademy.com/review-cards/5e137e2d0c9c630011cfbcdb,https://www.codecademy.com/paths/analyze-data-with-python/tracks/ida-6-statistics-for-data-analysis/modules/ida-6-2-quartiles-quantiles/lessons/quantiles
optimal,https://www.codecademy.com/review-cards/5ce15fcaaf246d03c85d523f,https://www.codecademy.com/paths/data-science/tracks/dspath-supervised/modules/decision-trees/lessons/ml-decision-trees
